"question_id","rubric_atom_id","evidence_type","evidence_level","plain_reward_description","legal_knowledge_or_rule_if_explicit","value_expression_if_explicit","source_locator","uncertainty"
"CC0040_2024_海淀_一模_19","R_CC0040_2024_海淀_一模_19_01","teacher_reference_answer","reference_only","19.（8分） 民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。乙公司未经许可使用甲公司创作的相关视频，并在展示过程中故意替换有关标识、加注注册商标，构成著作权侵权。乙公司进行虚假和引人误解的商业宣传，属于不正当竞争。法院依法判决乙公司赔偿甲公司损失，有利于激发创新活力，维护市场秩序。","民事主体；著作权","维护；秩序","F0025:text | F0026:page 7 | F0249:text | F0251:page 7","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_01","evaluation_standard","formal","20.阅读材料，运用《法律与生活》知识，完成裁判理由。","法律与生活","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_02","evaluation_standard","formal","（6 分） [slide 13] 关于AI作品权利归属问题，著作权法规定著作权人限于自然人、法人或非法人组织，AI不能成为著作权主体。","著作权","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_03","evaluation_standard","formal","李某使用人工智能软件制作的图片，具备“智力成果”和“独创性”要件，受到著作权法保护，享有著作权。","著作权","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_04","evaluation_standard","formal","刘某未经许可将其作为配图使用且抹去水印侵害了李某的信息网络传播权和署名权，属于侵权行为，应承担侵权责任。","侵权责任","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_05","evaluation_standard","formal","评分细则： ●著作权法规定著作权人限于自然人、法人或非法人组织，李某使用人工智能软件制作的图片，具备“智力成果”和“独创性”要件，受到著作权法保护。","著作权","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_06","evaluation_standard","formal","（法律依据：法律保护著作权角度，1分。","著作权","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_07","evaluation_standard","formal","替代：著作权法规定著作权人对其作品享有广泛的权利） ●刘某未经许可将其作为配图使用且抹去水印侵害了李某的信息网络传播权和署名权（二选一，1分） ●能够结合材料说出李某虽然使用了ai，但具备“智力成果”和“独创性”要件，受到著作权法保护，享有著作权（围绕争议，结合材料论述），或鼓励创新（阐述意义）（1分）（言之成理即可得分，但不重复给分。","著作权","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_08","evaluation_standard","formal","） [slide 14] 双方签订的相关手续系双方真实意思表示，内容不违反法律规定，合法有效，对双方均具有约束力。","","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_09","evaluation_standard","formal","小王使用信用卡透支且经催缴仍不还款的行为构成违约，违背了诚信原则和全面履行原则，应承担违约责任。","违约责任","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_10","evaluation_standard","formal","评分细则： ●双方签订的相关手续系双方真实意思表示，内容不违反法律规定，合同有效，对双方均具有约束力。","","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_11","evaluation_standard","formal","替代：合同体现了权利与义务相统一/公平原则/协商一致，等） ●小王使用信用卡透支且经催缴仍不还款的行为构成违约。","","公平","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_12","evaluation_standard","formal","（1分，替代：应承担违约责任） ●违背了诚信原则和全面履行原则，应承担违约责任。","违约责任","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_13","evaluation_standard","formal","替代：体现了诚信的社会主义核心价值观/传统美德，但必须出诚信；","","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_14","evaluation_standard","formal","） （其他答案，言之成理即可得分，但不重复给分。","","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0137_2025_昌平_二模_20","R_CC0137_2025_昌平_二模_20_15","evaluation_standard","formal","） [slide 15]","","","F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0195_2025_西城_一模_20","R_CC0195_2025_西城_一模_20_01","marking_rubric","formal","20．（8分）劳动法的首要原则是保护劳动者权益，工会搭建协商平台，劳动者以集体力量与用人单位签订集体合同，可以确保双方协商一致，更加公平、平等自愿。更好地保护劳动者合法权益，促进广大劳动者特别是低薪劳动者群体实现体面劳动，实现社会公平。促进企业依法规范用工，构建和谐劳动关系，激发劳动者积极性，推动生产效率的提高，培育良好商誉，实现社会公平与经济效率的平衡。 【细则】 公平角度：4分 发挥工会的作用/集体的力量 1分 可以确保双方协商一致、平等自愿，公平签订劳动合同（或结合订立劳动合同基本原则说明） 1分 ——更好地保护劳动者合法权益（或获得劳动报酬的权利）1分 ——促进体面劳动（尊重劳动/保护苦脏险累且工资水平不高的劳动者等/分配公平） 1分 效率角度：4分 促进企业依法规范用工（合理用工） 1分 激发劳动者积极性/保障收入 1分 ；建立和谐劳动关系 1分 推动生产效率的提高/培育良好商誉/企业信誉形象 1分","劳动法；劳动合同；劳动者；用人单位；劳动报酬","促进；规范；公平","F0093:text | F0094:page 10 | F0094:page 7 | F0311:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0289_2026_朝阳_二模_18","R_CC0289_2026_朝阳_二模_18_01","marking_rubric","formal","18.（8分） 结合材料，运用《法律与生活》知识，将以上回答补充完整。","法律与生活","","F0193:text | F0194:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
"CC0289_2026_朝阳_二模_18","R_CC0289_2026_朝阳_二模_18_02","marking_rubric","formal","从以上三个问答中任选其一，谈谈如何依法保护问答中所涉及到的权利。","","","F0193:text | F0194:text","heuristic_atom_split_from_text_layer; needs回源核细则原文"
