"metric","before_source_check","after_source_check","delta","note"
"core_rows_mapped","42/42","42/42","0","No core row became unmapped."
"E1_count","9","9","0","CC0137 boundary confirmed; CC0289 primary confirmed."
"E2_count","8","8","0","CC0364 kept with 期中/期末 alias warning."
"E3_count","3","3","0","No change in this pass."
"E4_count","7","7","0","CC0051 kept as PASS_RECOVERED low-frequency evaluation evidence."
"E5_count","11","11","0","CC0195 kept under legal-labor fairness/efficiency."
"E6_count","4","4","0","CC0223 primary confirmed; CC0289 remains secondary support."
"core_additions","0","0","0","No new core cards added."
"core_deletions","0","0","0","No source-locked/recovered-locked core cards deleted."
"reference_rows_promoted","0","0","0","CC0162, CC0040, CC0353 remain reference-only/open."
"boundary_rows_promoted","0","0","0","CC0380 remains open boundary container only."
"next_backfill_promoted","0","0","0","Six next-backfill candidates remain outside core."
