suite_id,question,book_module,question_type,evidence_source,status,artifact_location,decision_reason,next_action
2024东城一模,第1题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城一模,第2题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城一模,第3题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城一模,第15题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城一模,第16题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城一模,第18题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城一模,第21题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024丰台一模,第1题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024丰台一模,第2题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024丰台一模,第8题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024丰台一模,第9题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024丰台一模,第18题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024丰台一模,第21题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第1题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第2题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第3题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第4题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第5题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第8题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第9题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第16题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024朝阳一模,第18题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024海淀一模,第1题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024海淀一模,第2题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024海淀一模,第3题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024海淀一模,第4题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024海淀一模,第5题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024海淀一模,第16题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024石景山一模,第2题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024石景山一模,第3题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024石景山一模,第4题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024石景山一模,第5题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024石景山一模,第16题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024石景山一模,第20题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第1题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第2题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第3题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第4题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第9题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第10题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第12题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第15题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024西城一模,第17题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城二模,第1题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城二模,第2题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城二模,第3题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
2024东城二模,第11题,必修四哲学,subjective-or-choice,v2-master + cache (suite_bundle),included,Word 主体触发总表对应模块,v2 母版已用证据回填该题哲学触发；本轮 cache-first 复核保留,保留母版条目；如缓存复核发现冲突在 DECISION_LOG 记录
