line,action,detail
17,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025海淀二模-20; phase12_decision: body_now; source_pool: phase11B_fallback_for_missing_body_now -->
31,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025海淀期末-17-1; phase12_decision: body_now; source_pool: phase11D_combined29 -->
47,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025海淀期末-18; phase12_decision: body_now; source_pool: phase11D_combined29 -->
69,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024海淀二模-17-1; phase12_decision: body_after_repair; source_pool: phase11D_combined29 -->
91,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024海淀二模-17-2; phase12_decision: body_now; source_pool: phase11D_combined29 -->
113,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025西城二模-16-2; phase12_decision: body_now; source_pool: phase11D_combined29 -->
137,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025西城二模-16-3; phase12_decision: body_now; source_pool: phase11D_combined29 -->
161,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024西城一模-19-2; phase12_decision: body_now; source_pool: phase11D_combined29 -->
185,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024西城一模-19-3; phase12_decision: body_now; source_pool: phase11D_combined29 -->
209,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024西城一模-19-5; phase12_decision: body_now; source_pool: phase11D_combined29 -->
233,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026东城一模-19-4; phase12_decision: body_now; source_pool: phase11D_combined29 -->
249,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026东城期末-17-2; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
269,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025东城期末-18-2; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
289,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026朝阳期中-20; phase12_decision: body_now; source_pool: phase11D_combined29 -->
305,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026朝阳期中-21-2; phase12_decision: body_now; source_pool: phase11D_combined29 -->
329,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳一模-20-1; phase12_decision: body_now; source_pool: phase11D_combined29 -->
345,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳一模-20-2; phase12_decision: body_now; source_pool: phase11D_combined29 -->
369,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳二模-19-1; phase12_decision: body_now; source_pool: phase11D_combined29 -->
393,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳二模-19-2; phase12_decision: body_now; source_pool: phase11D_combined29 -->
417,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳期中-18; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
437,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳期中-19; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
457,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026丰台一模-18-2; phase12_decision: body_now; source_pool: phase11B_fallback_for_missing_body_now -->
472,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025丰台期末-18-1; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
492,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026顺义一模-19-1; phase12_decision: body_now; source_pool: phase11D_combined29 -->
516,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026顺义一模-19-2; phase12_decision: body_now; source_pool: phase11D_combined29 -->
538,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026通州期末-19-2; phase12_decision: body_now; source_pool: phase11D_combined29 -->
562,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025顺义一模-17-1; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
585,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025海淀二模-12; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
599,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025海淀二模-13; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
619,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025海淀期末-2; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
633,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025海淀期末-8; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
653,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024海淀二模-6; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
691,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025西城二模-7; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
705,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024西城一模-11; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
719,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024西城一模-13; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
739,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026东城一模-6; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
759,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026东城期末-6; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
779,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026东城期末-7; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
799,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025东城期末-5; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
813,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025东城期末-13; phase12_decision: body_now; source_pool: phase11D_combined29 -->
853,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025东城期末-14; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
873,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025东城期末-15; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
893,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026朝阳期中-11; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
913,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026朝阳期中-12; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
933,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026朝阳期中-13; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
947,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026朝阳期中-14; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
961,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026朝阳期中-15; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
999,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳一模-7; phase12_decision: body_now; source_pool: phase11D_combined29 -->
1029,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳一模-9; phase12_decision: body_now; source_pool: phase11D_combined29 -->
1069,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳二模-6; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1083,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳二模-7; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1103,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳期中-7; phase12_decision: body_now; source_pool: phase11D_combined29 -->
1145,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳期中-8; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1159,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳期中-9; phase12_decision: body_now; source_pool: phase11D_combined29 -->
1191,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2024朝阳期中-11; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1205,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026丰台一模-4; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1219,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026丰台一模-7; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1233,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026丰台一模-8; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1247,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2026丰台一模-9; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
1267,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025丰台期末-7; phase12_decision: body_now; source_pool: phase11D_combined29 -->
1299,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025丰台期末-8; phase12_decision: body_now; source_pool: phase11D_combined29 -->
1329,remove_duplicate_qid_comment_in_entry,<!-- question_id: Q-2025丰台期末-9; phase12_decision: body_after_repair; source_pool: phase12_batch_repair -->
