suite,year,phase,source_dir,status,file_count,paper_files,rubric_files,answer_files,file_list,cache_hits
2024东城一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模,in_scope_inventory,3,1,1,1,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,3
2024丰台一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模,in_scope_inventory,3,2,1,1,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,3
2024朝阳一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模,in_scope_inventory,4,2,2,1,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,4
2024海淀一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模,in_scope_inventory,3,1,1,1,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,3
2024石景山一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模,in_scope_inventory,2,1,0,1,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,2
2024西城一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模,in_scope_inventory,5,1,2,2,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx | C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,3
2025东城一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模,in_scope_inventory,2,1,1,0,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf | C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf,2
2025丰台一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模,in_scope_inventory,2,1,1,0,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx | C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf,2
2025延庆一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模,in_scope_inventory,2,1,1,0,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\细则\2025延庆一模细则.docx | C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf,2
2025房山一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模,in_scope_inventory,2,1,1,0,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\细则\2025房山一模细则.pdf | C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf,2
