suite,path,suffix,status,chars
2024东城一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,.pdf,pdf-text,0
2024东城一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,.pptx,pptx-text,9817
2024东城一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,.pdf,pdf-text,0
2024丰台一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,.docx,docx-text,4618
2024丰台一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,.pdf,pdf-text,9182
2024丰台一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,.pdf,pdf-text,977
2024朝阳一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,.pptx,pptx-text,11420
2024朝阳一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,.docx,docx-text,2007
2024朝阳一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,.pptx,pptx-text,11420
2024朝阳一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,.pdf,pdf-text,6504
2024海淀一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,.docx,docx-text,1618
2024海淀一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,.docx,docx-text,3137
2024海淀一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,.pdf,pdf-text,8198
2024石景山一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,.pptx,pptx-text,11463
2024石景山一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,.docx,docx-text,9081
2024西城一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,.docx,docx-text,1665
2024西城一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,.docx,failed-BadZipFile: File is not a zip file,0
2024西城一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,.xlsx,unsupported-.xlsx,0
2024西城一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx,.docx,docx-text,3055
2024西城一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,.docx,docx-text,6146
2025东城一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf,.pdf,pdf-text,5763
2025东城一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf,.pdf,pdf-text,8074
2025丰台一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx,.docx,docx-text,6392
2025丰台一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf,.pdf,pdf-text,8891
2025延庆一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\细则\2025延庆一模细则.docx,.docx,docx-text,2632
2025延庆一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf,.pdf,pdf-text,9710
2025房山一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\细则\2025房山一模细则.pdf,.pdf,pdf-text,3575
2025房山一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf,.pdf,pdf-text,16408
2025朝阳一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc,.doc,word-com-doc-text,1607
2025朝阳一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc,.doc,word-com-doc-text,3165
