rubric_atom_id,question_id,rubric_or_answer_phrase,evidence_type,evidence_level,plain_reward_description,related_material_atom_ids,what_expression_is_rewarded,what_judgment_student_must_make_before_writing,legal_knowledge_or_rule_if_explicit,value_expression_if_explicit,knowledge_material_value_type,can_be_written_without_material,source_locator,uncertainty
R_CC0011_2024_丰台_二模_17_01,CC0011_2024_丰台_二模_17,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色原则为生态环境保护提供了基本遵循。（1分）在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。（2分）依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。（1分）民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。（4分）（权利义务、个人利益和公共利益、维护良好的生态环境三个点都写到就给4分。）,evaluation_standard,formal,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色原则为生态环境保护提供了基本遵循。（1分）在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。（2分）依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。（1分）民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。（4分）（权利义务、个人利益和公共利益、维护良好的生态环境三个点都写到就给4分。）,M_CC0011_2024_丰台_二模_17_01|M_CC0011_2024_丰台_二模_17_02|M_CC0011_2024_丰台_二模_17_03|M_CC0011_2024_丰台_二模_17_04|M_CC0011_2024_丰台_二模_17_06|M_CC0011_2024_丰台_二模_17_07|M_CC0011_2024_丰台_二模_17_08|M_CC0011_2024_丰台_二模_17_09,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色原则为生态环境保护提供了基本遵循。（1分）在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。（2分）依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。（1分）民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。（4分）（权利义务、个人利益和公共利益、维护良好的生态环境三个点都写到就给4分。）,判断法律关系/行为性质/责任承担或程序路径(回源细化),民法典；民事主体；知识产权；侵权责任；法律与生活,维护；公平；正义,knowledge+material+value,no,F0047:text | F0270:text,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0019_2024_朝阳_一模_19_01,CC0019_2024_朝阳_一模_19,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。",marking_rubric,formal,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。",M_CC0019_2024_朝阳_一模_19_02|M_CC0019_2024_朝阳_一模_19_03|M_CC0019_2024_朝阳_一模_19_05|M_CC0019_2024_朝阳_一模_19_06,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。",判断法律关系/行为性质/责任承担或程序路径(回源细化),民法典；民事主体；经营者,维护；引导；规范；公平；正义；秩序,knowledge+material+value,no,F0014:text | F0239:text,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_01,CC0025_2024_朝阳_二模_17,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。,marking_report,formal,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_02,CC0025_2024_朝阳_二模_17,原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性；,marking_report,formal,原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性；,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性；,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_03,CC0025_2024_朝阳_二模_17,甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准，具有明显 的经济从属性；,marking_report,formal,甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准，具有明显 的经济从属性；,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准，具有明显 的经济从属性；,判断法律关系/行为性质/责任承担或程序路径(回源细化),占有,,knowledge+material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_04,CC0025_2024_朝阳_二模_17,王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属 性。,marking_report,formal,王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属 性。,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属 性。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_05,CC0025_2024_朝阳_二模_17,所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。,marking_report,formal,所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_06,CC0025_2024_朝阳_二模_17,该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问题， 提高以事实为依据、以法律为准绳进行公正裁决的能力；,marking_report,formal,该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问题， 提高以事实为依据、以法律为准绳进行公正裁决的能力；,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问题， 提高以事实为依据、以法律为准绳进行公正裁决的能力；,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_07,CC0025_2024_朝阳_二模_17,有利于保障新就业形态劳动者权益， 发展和谐稳定的劳动关系；,marking_report,formal,有利于保障新就业形态劳动者权益， 发展和谐稳定的劳动关系；,M_CC0025_2024_朝阳_二模_17_03|M_CC0025_2024_朝阳_二模_17_04|M_CC0025_2024_朝阳_二模_17_05|M_CC0025_2024_朝阳_二模_17_06,有利于保障新就业形态劳动者权益， 发展和谐稳定的劳动关系；,判断法律关系/行为性质/责任承担或程序路径(回源细化),劳动者,,knowledge+material,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
R_CC0025_2024_朝阳_二模_17_08,CC0025_2024_朝阳_二模_17,有利于引导平台经济良性发展，促进经济社会的发展。,marking_report,formal,有利于引导平台经济良性发展，促进经济社会的发展。,M_CC0025_2024_朝阳_二模_17_01|M_CC0025_2024_朝阳_二模_17_02,有利于引导平台经济良性发展，促进经济社会的发展。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,促进；引导,material+value,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_atom_split_from_text_layer; needs回源核细则原文
