question_id,evidence_level
CC0002_2024_丰台_一模_17,formal
CC0011_2024_丰台_二模_17,formal
CC0019_2024_朝阳_一模_19,formal
CC0025_2024_朝阳_二模_17,formal
CC0040_2024_海淀_一模_19,reference_only
CC0045_2024_海淀_二模_19,formal
CC0051_2024_海淀_期中_21_1,formal
CC0054_2024_石景山_一模_17,formal
CC0061_2024_西城_一模_18,formal
CC0063_2024_西城_二模_16,formal
CC0077_2025_东城_一模_19,formal
CC0084_2025_东城_二模_19,formal
CC0092_2025_东城_期末_19_1,formal
CC0103_2025_丰台_一模_19,formal
CC0119_2025_丰台_期末_19,formal
CC0125_2025_延庆_一模_19,formal
CC0131_2025_房山_一模_19,formal
CC0137_2025_昌平_二模_20,formal
CC0143_2025_朝阳_一模_19,formal
CC0150_2025_朝阳_二模_20,formal
CC0157_2025_朝阳_期末_20,formal
CC0162_2025_海淀_一模_18,reference_only
CC0180_2025_海淀_期末_20,formal
CC0181_2025_海淀_期末_21,formal
CC0189_2025_石景山_一模_20,formal
CC0195_2025_西城_一模_20,formal
CC0200_2025_西城_二模_18,formal
CC0206_2025_西城_期末_19,formal
CC0213_2025_门头沟_一模_20,formal
CC0214_2025_门头沟_一模_20_2,formal
CC0223_2025_顺义_一模_19,formal
CC0229_2026_东城_一模_18,formal
CC0238_2026_东城_二模_19,formal
CC0244_2026_东城_期中_18,formal
CC0245_2026_东城_期中_18_2,formal
CC0251_2026_丰台_一模_20,formal
CC0254_2026_丰台_二模_18,formal
CC0276_2026_房山_二模_17,formal
CC0277_2026_房山_二模_18,formal
CC0283_2026_朝阳_一模_18,formal
CC0289_2026_朝阳_二模_18,formal
CC0311_2026_海淀_二模_18,reference_only
CC0317_2026_海淀_期中_18,formal
CC0318_2026_海淀_期中_18_2,formal
CC0319_2026_海淀_期中_19,formal
CC0325_2026_石景山_一模_18,formal
CC0332_2026_石景山_二模_19,formal
CC0340_2026_西城_一模_17,formal
CC0353_2026_西城_期中_17,reference_only
CC0364_2026_通州_期中_19_1,formal
CC0305_2026_海淀_一模_18_3,formal
CC0373_2026_顺义_一模_18,formal
CC0380_2026_顺义_二模_18_2,formal
RECOVER_2024_顺义_二模_17,reference_only
RECOVER_2025_海淀_二模_18,formal
RECOVER_2026_通州_一模_20,formal
