source_id,suite,path,source_type,evidence_type,extraction_method,status,notes
FRAMEWORK_thinking,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/00_source_pdfs/逻辑与思维_思维部分_原文件.pdf,user_framework_or_uploaded_pdf,thinking,pending,framework_learning_not_exam_evidence,current_run_source_copy_from_user_upload
FRAMEWORK_reasoning,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/00_source_pdfs/逻辑与思维_推理部分_原文件.pdf,user_framework_or_uploaded_pdf,reasoning,pending,framework_learning_not_exam_evidence,current_run_source_copy_from_user_upload
SRC_0003,,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_框架+三年题链_穷尽版.md,user_framework_or_uploaded_pdf,thinking,pending,candidate_needs_verification,primary_source_root
SRC_0004,,/Users/wanglifei/Desktop/北京高考政治/codex_连续任务_选必三_任务进度文档.md,other,possible,pending,candidate_needs_verification,primary_source_root
SRC_0005,,/Users/wanglifei/Desktop/北京高考政治/codex_连续任务_选必三_任务步骤文档.md,other,possible,pending,candidate_needs_verification,primary_source_root
SRC_0006,,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_逐题材料-思维路径积累_穷尽版.md,user_framework_or_uploaded_pdf,thinking,pending,candidate_needs_verification,primary_source_root
SRC_0007,,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_零基础满分课稿.md,user_framework_or_uploaded_pdf,thinking,pending,candidate_needs_verification,primary_source_root
SRC_0008,,/Users/wanglifei/Desktop/北京高考政治/codex_continuous/jobs/选必三_思维触发穷尽/DEVELOPMENT_PLAN.md,other,possible,pending,candidate_needs_verification,primary_source_root
SRC_0009,,/Users/wanglifei/Desktop/北京高考政治/codex_continuous/jobs/选必三_思维触发穷尽/PROGRESS.md,other,possible,pending,candidate_needs_verification,primary_source_root
SRC_0010,,/Users/wanglifei/Desktop/北京高考政治/codex_continuous/jobs/选必三_思维触发穷尽/START_JOB.sh,other,possible,pending,candidate_needs_verification,primary_source_root
SRC_0011,,/Users/wanglifei/Desktop/北京高考政治/codex_continuous/jobs/选必三_思维触发穷尽/TASK_BRIEF.md,other,possible,pending,candidate_needs_verification,primary_source_root
SRC_0012,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_完全模仿哲学宝典返工_2026-05-04/FINAL_ACCEPTANCE_REPORT.md,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0013,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_完全模仿哲学宝典返工_2026-05-04/.DS_Store,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0014,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_完全模仿哲学宝典返工_2026-05-04/build_mimic_baodian.py,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0015,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_完全模仿哲学宝典返工_2026-05-04/05_review/与哲学宝典结构对比.md,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0016,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_完全模仿哲学宝典返工_2026-05-04/02_ledgers/coverage_counts.md,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0017,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_完全模仿哲学宝典返工_2026-05-04/01_extract/philosophy_template_structure.md,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0018,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_完全模仿哲学宝典返工_2026-05-04/04_delivery/选必三逻辑与思维_完全模仿哲学宝典_学生版_2026-05-04.md,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0019,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维双线四线终极跑_2026-05-04/FINAL_ACCEPTANCE_REPORT.md,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0020,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维双线四线终极跑_2026-05-04/SOURCE_LEDGER.csv,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0021,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维双线四线终极跑_2026-05-04/claude_review_xuanbisan_student_doc_draft_20260504.md,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
SRC_0022,,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维双线四线终极跑_2026-05-04/MASTER_REQUIREMENTS.md,other,possible,pending,not_evidence_until_reopened,old_artifact_locator_only
