cluster_id,cluster_key,question_count,question_ids,decision,same_min_judgment,same_material_to_law,same_full_score_sentence,code_relation,evidence_enough,risk_summary,counterexample
PC01,意义::FWV1_N02+FWV1_N03+FWV1_N04,4,CC0025_2024_朝阳_二模_17|CC0045_2024_海淀_二模_19|CC0063_2024_西城_二模_16|RECOVER_2026_西城_二模_18_2,SPLIT: revise_002 (CC0045/CC0063/RECOVER_2026_西城_二模_18_2 进示范案例三角分支) + transfer (CC0025 孤证),no — CC0025 三从属性 vs CC0045/CC0063/RECOVER_2026_西城_二模_18_2 判决意义/示范案例 是两种不同最小判断,partial — 后三题均为法律语言→个人权益+市场/行业秩序+核心价值观，CC0025 为劳动事实→劳动关系认定,后三题共享意义三角句模式；CC0025 独立句模式,"revise CODE_COWORK_002 加 ""对象=典型案例/示范判决""分支；不增加新 code",enough for revise; not enough for new code,必修三化风险中：典型案例意义层易跑到法治国家/法治社会泛话,CC0025 仅依靠三从属性，模板套用三角意义会失分
PC02,综合::FWV1_N01+FWV1_N02+FWV1_N03,4,CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|RECOVER_2025_海淀_二模_18,REVISE 001 (CC0189/CC0213/CC0214/RECOVER_2025_海淀_二模_18 进表格三段式 sub-pattern),yes — 每格独立采点：法律依据 1 分 + 事实分析 1 分 + 意义/保障作用 1 分,yes — 把材料具体事实 (合同欺诈/商标抢注/劳动合同欺诈) 转写为法律定性 + 法律依据,yes — 三段式 cell 句式高度一致,revise CODE_COWORK_001 rubric_reward_pattern 与 full_score_sentence_pattern,yes (4 道独立题 + 1 道 RECOVER),法考化风险低；必修三化风险中,"CC0084 表格题不要求""三段式""，只要单格采点；不要把所有表格题硬套三段式"
PC03,论证::FWV1_N02+FWV1_N03+FWV1_N04,2,CC0011_2024_丰台_二模_17|CC0054_2024_石景山_一模_17,SPLIT: revise_002 (CC0054) + source_check (CC0011),partial — CC0054 是合同成立要件 + 法治意义；CC0011 是参考答案整段未切分独立赋分,CC0054 yes (要约/承诺/合同成立)；CC0011 atom 单一无法判定,"CC0054 形成""原则名+案例事实+三层作用""；CC0011 需细则切分",CC0054 → revise CODE_COWORK_002 + revise CODE_COWORK_006 (合同成立锚句)；CC0011 → 源核,single-question per branch; insufficient as standalone code,CC0011 易必修三化（生态环境保护泛话）,CC0011 atom 仅 1 条且 8 分整段未切分；不能直接升级为 code
PC04,综合::FWV1_N07,2,CC0092_2025_东城_期末_19_1|CC0332_2026_石景山_二模_19,SPLIT: revise_007 (CC0092 issue spotting) + transfer (CC0332 校园欺凌孤证),no — 两题判断对象完全不同,no,no,"CC0092 → revise CODE_COWORK_007 ""识别法律问题""分支；CC0332 → transfer",no — 两个孤证,CC0332 倾向必修三化（依法治国全面要求）,"CC0332 中""答必修3不赋分""在 CC0289 等 reward 已显式标注，警示风险"
PC05,原因::FWV1_N02+FWV1_N04+FWV1_N07,2,CC0125_2025_延庆_一模_19|RECOVER_2024_东城_一模_19,SPLIT: revise_007 (CC0125 调解理由) + transfer (RECOVER_2024_东城_一模_19 诉讼时效),no — 调解理由 vs 诉讼时效目的，最小判断不同,partial,no,CC0125 → revise CODE_COWORK_007；RECOVER → transfer,no for new code,法考化中（诉讼时效易扩展为完整时效体系）,RECOVER 是 6 分原因题，rubric atom 三条均为高度抽象奖励标签
PC06,论证::FWV1_N02+FWV1_N03+FWV1_N05,2,CC0131_2025_房山_一模_19|CC0223_2025_顺义_一模_19,SPLIT: promote_008 (CC0131 IP/不正当竞争) + revise_002 (CC0223 相邻权+诚信),no — 两题对象不同,no,no,CC0131 → 新 code COWORK_008；CC0223 → revise CODE_COWORK_002,CC0131 与 PC09/PC14/PC25 同型联动；CC0223 单题,法考化中,不正当竞争与相邻权根本不是同一类题，不可合并
PC07,说明::FWV1_N02+FWV1_N07,2,CC0200_2025_西城_二模_18|RECOVER_2026_延庆_一模_18_1,SPLIT: transfer (CC0200 监护单题) + revise_007 (RECOVER_2026_延庆_一模_18_1 三类侵权+诉讼请求),"partial — 都要做""多方/多事实""分析，但答题逻辑不同",no,no,CC0200 → transfer；RECOVER → revise CODE_COWORK_007,no for new code,CC0200 中：必修三化中；法考化中（民法典 157 条易拓展为责任配比）,CC0200 是 3 方过错综合分配，单题孤证
PC08,综合::FWV1_N02+FWV1_N05+FWV1_N07,2,CC0229_2026_东城_一模_18|CC0380_2026_顺义_二模_18_2,"REVISE 007 (CC0229 与 CC0380 共同走""识别权益→程序救济→责任承担""路径)",yes — 都要求识别权益类型 + 程序救济 + 实体责任,yes — 材料数字技术/AI/平台 → 法律权益识别,"yes — ""权益+程序+责任""三层句式","revise CODE_COWORK_007 加入""实体规则+程序救济+责任承担""显式三段；CC0229 同时入 promote_008",yes (2 题加 PC23/PC24 联动),必修三化中,"CC0229 案例三是""驳回恶意诉讼""，需注意诚信原则+权利边界双向"
PC09,论证::FWV1_N02+FWV1_N04+FWV1_N05,2,CC0283_2026_朝阳_一模_18|CC0319_2026_海淀_期末_19,PROMOTE 008 (CC0283 与 CC0319 IP/不正当竞争司法保护),yes — 行为定性（不正当竞争/侵权）+ 援引法律 + 司法手段 + 法治意义,yes,yes — 四步链句式,新 code COWORK_008,yes（与 PC06 CC0131、PC25 CC0318(no)、PC14 CC0103 联动 ≥6 题）,法考化中（惩罚性赔偿易扩成法考惩罚性赔偿构成要件）,"CC0319 同时 reward ""民事主体行使权利不得超出正当界限""，与意义层重叠需注意"
PC10,评析::FWV1_N02+FWV1_N04+FWV1_N06,2,CC0364_2026_通州_期末_19_1|RECOVER_2026_房山_一模_17_1,SPLIT: revise_004_006 (CC0364 判决理由四步) + source_check (RECOVER_2026_房山_一模_17_1 AI幻觉辨析),no,no,no,"CC0364 → revise CODE_COWORK_004/006 加""判决意义 3 分独立段""；RECOVER → 源核",no for new code,CC0364 法考化中；RECOVER 辨析体边界模糊,RECOVER 3 条 rubric atom 都是奖励标签未切分，不可升级
