question_id,proposed_rubric_atom_id,rubric_or_answer_phrase,point_value_or_scoring_logic,related_material_atom_ids,what_judgment_student_must_make_before_writing,legal_knowledge_or_rule_if_explicit,knowledge_material_value_type,source_locator,patch_status
CC0011_2024_丰台_二模_17,PATCH_CC0011_R01,民法典规定的绿色原则为生态环境保护提供了基本遵循。,1分,M_CC0011_2024_丰台_二模_17_01,判断设问要求分析民法典规定的生态保护作用,民法典绿色原则,knowledge+value,F0270 lines 11-16,replace_single_atom
CC0011_2024_丰台_二模_17,PATCH_CC0011_R02,民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。,2分,M_CC0011_2024_丰台_二模_17_02|M_CC0011_2024_丰台_二模_17_04,判断专利技术应用与知识产权保护的作用关系,知识产权保护,knowledge+material+value,F0270 lines 11-16,replace_single_atom
CC0011_2024_丰台_二模_17,PATCH_CC0011_R03,依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。,1分,M_CC0011_2024_丰台_二模_17_03|M_CC0011_2024_丰台_二模_17_05|M_CC0011_2024_丰台_二模_17_06,判断污染环境行为触发侵权责任,环境侵权责任,knowledge+material,F0270 lines 11-16,replace_single_atom
CC0011_2024_丰台_二模_17,PATCH_CC0011_R04,民法典确定权利义务，保护合法权益、惩罚违法行为，平衡个人利益和公共利益，预防损害并维护良好生态环境。,4分；权利义务、个人利益和公共利益、维护良好生态环境三个点都写到给4分,M_CC0011_2024_丰台_二模_17_01|M_CC0011_2024_丰台_二模_17_04|M_CC0011_2024_丰台_二模_17_05|M_CC0011_2024_丰台_二模_17_06,判断民法典条款从权利义务和利益平衡层面服务生态保护,民事权利义务；侵权责任；利益平衡,knowledge+material+value,F0270 lines 11-16,replace_single_atom
CC0019_2024_朝阳_一模_19,PATCH_CC0019_R01,社会主义市场经济本质上是法治经济；民法典诚信原则凸显核心价值观引导规范，或法治德治结合。,总述1分,M_CC0019_2024_朝阳_一模_19_01|M_CC0019_2024_朝阳_一模_19_02,判断答题对象是民法典诚信原则对市场经济的作用,民法典诚信原则,knowledge+value,F0013 lines 333-335,replace_single_atom
CC0019_2024_朝阳_一模_19,PATCH_CC0019_R02,诚信原则要求合同当事人按照约定全面履行义务。,角度一要求1分,M_CC0019_2024_朝阳_一模_19_03|M_CC0019_2024_朝阳_一模_19_04,判断镜头一是合同履行/违约场景,合同全面履行；诚信原则,knowledge+material,F0013 lines 336-339,replace_single_atom
CC0019_2024_朝阳_一模_19,PATCH_CC0019_R03,规范民事主体行为，尊重和维护民事主体合法权利。,角度一有利于1分,M_CC0019_2024_朝阳_一模_19_03|M_CC0019_2024_朝阳_一模_19_04,判断诚信原则约束合同主体行为并保护权利,民事主体合法权利,knowledge+material+value,F0013 lines 339-340,replace_single_atom
CC0019_2024_朝阳_一模_19,PATCH_CC0019_R04,司法机关可根据诚信原则定分止争，维护公平正义和诚信健康市场秩序。,角度一有利于1分,M_CC0019_2024_朝阳_一模_19_05,判断法院判决是诚信原则进入司法定分止争,司法定分止争；公平正义,knowledge+material+value,F0013 lines 341-342,replace_single_atom
CC0019_2024_朝阳_一模_19,PATCH_CC0019_R05,诚信原则要求经营者依法、诚信经营。,角度二要求1分,M_CC0019_2024_朝阳_一模_19_06|M_CC0019_2024_朝阳_一模_19_07,判断镜头二是经营者信用公开/诚信经营场景,经营者诚信经营,knowledge+material,F0013 lines 343-345,replace_single_atom
CC0019_2024_朝阳_一模_19,PATCH_CC0019_R06,保护消费者合法权益，平衡经营者与消费者关系，扩大守法诚信经营者市场并增进社会福祉。,角度二有利于2分，列点任意1点给1分，总分不超过2分,M_CC0019_2024_朝阳_一模_19_06|M_CC0019_2024_朝阳_一模_19_07,判断消费者放心消费/商户信用信息触发消费者权益与市场活力,消费者权益保护；诚信经营,knowledge+material+value,F0013 lines 345-349,replace_single_atom
CC0061_2024_西城_一模_18,PATCH_CC0061_18_1_R01,依据诉讼法回避制度，书记员与当事人/诉讼代理人存在近亲属、利害关系或其他可能影响公正审理关系时可申请回避；本题示例写小袁是三儿子的学生或二儿子的朋友。,18(1) 1分,M_CC0061_2024_西城_一模_18_07,先判断镜头一考回避制度及关系事实,回避制度,knowledge+material,F0278 lines 25-28; F0061 lines 104-107,split_required
CC0061_2024_西城_一模_18,PATCH_CC0061_18_2_R01,镜头二中“辩护人”错误，应改为“诉讼代理人”。,18(2) 1分,M_CC0061_2024_西城_一模_18_08|M_CC0061_2024_西城_一模_18_09,先判断民事诉讼中的代理人身份,诉讼代理人,knowledge+material,F0278 line 29; F0061 line 108,split_required
CC0061_2024_西城_一模_18,PATCH_CC0061_18_3_R01,成年子女对父母有赡养的义务。,18(3) 1分,M_CC0061_2024_西城_一模_18_01|M_CC0061_2024_西城_一模_18_02,判断三个儿子成年子女身份和赡养义务,成年子女赡养义务,knowledge+material,F0278 line 30,split_or_trim_to_18_3
CC0061_2024_西城_一模_18,PATCH_CC0061_18_3_R02,赡养父母包括经济供养、生活照料、精神慰藉、照顾特殊需要、使父母幸福安度晚年，五选二得2分。,18(3) 2分，五选二,M_CC0061_2024_西城_一模_18_02|M_CC0061_2024_西城_一模_18_04|M_CC0061_2024_西城_一模_18_05,判断本案不只金钱给付，还涉及陪伴和精神慰藉,赡养义务内容；精神慰藉,knowledge+material,F0278 line 30,split_or_trim_to_18_3
