issue_id,severity,question_id,entry_term,gpt_recommendation,codex_decision,source_basis,patch_file,patch_summary
B002-I01,must_fix_boundary,2024东城一模Q20,"依托我国超大市场优势，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应","术语标题降级，增加边界注释","accepted_with_boundary","2024东城一模Q20细则第4点；本题题干为经济相关知识，选必一主链只取制度型开放、经济全球化、全球资源要素、两个市场两种资源联动","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","标题改为放宽市场准入、吸引全球资源要素；保留题内承接语但锁定不迁移"
B002-I02,must_fix_source,2024东城一模Q20,"放宽市场准入与两个市场两种资源联动效应","补入提升贸易投资合作质量和水平","accepted","2024东城一模Q20细则第4点完整链条含提升贸易投资合作质量和水平","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","答案句末补入效果端"
B002-I03,must_fix_source,2025西城二模Q19(2),"推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展","从五方向条目移除西城","accepted","2025西城二模Q19(2)世界意义第1组只给推动普惠包容的经济全球化、建设开放型世界经济、促进贸易自由化","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","五方向条目保留2024朝阳与2025东城，西城留在普惠包容条目"
B002-I04,merge_or_index_issue,2024朝阳期中Q20(3);2025西城二模Q19(2),"促进投资和贸易自由化便利化；建设开放型世界经济 / 促进贸易自由化","同条下分题索引，不用一个跨题答案句覆盖两题","accepted","朝阳指向数字经济领域投资和贸易便利化；西城指向零关税、贸易自由化和开放型世界经济","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","答案句拆成A朝阳与B西城"
B002-I05,must_fix_boundary,2025东城一模Q20,"共同利益是合作的基础","聚焦11月13日开始的此次出访","accepted","2025东城一模Q20题面和源包边界提示要求围绕此行、自贸协定升级、合作规划、60多项合作文件","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","材料触发和答案句改为此次出访事实"
B002-I06,must_fix_boundary,2025东城一模Q20,"开辟中国特色大国外交的新境界 / 构建人类命运共同体的新实践","删去以中拉命运共同体10周年作为主要触发","accepted","2025东城一模Q20第三层评分点与题面11天行程、近40场多边活动、60多项合作文件","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","改为此次出访、多边活动、合作文件和全球南方议题"
B002-I07,merge_or_index_issue,2025东城一模Q20,"维护发展中国家的利益；替代表述：完善全球治理 / 推进国际关系民主化","区分2分主表述与1分替代表述","accepted","2025东城一模Q20第二层维护发展中国家的利益2分；完善全球治理或推进国际关系民主化1分","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","标题与边界注释改为主术语加替代表述，答案句不再累加"
B002-I08,merge_or_index_issue,2025东城一模Q20,"推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展","加同点替代表述边界注释","accepted","2025东城一模Q20第一层第②点含推动高水平对外开放、促进高质量发展、五方向全球化同点","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","注明推动高水平对外开放可作同点替代表述，促进高质量发展只作效果语"
B002-I09,wording_improvement,2025海淀二模Q21,"贡献中国智慧和中国方案","把提高工作效率改为讨论聚焦实质性问题","accepted","2025海淀二模Q21材料二为推动安理会讨论聚焦实质性问题","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","答案句贴回源包原表述"
B002-I10,wording_improvement,2025海淀二模Q21,"联合国地位和作用","实践多边主义的重要平台改为最佳场所","accepted","2025海淀二模Q21细则明确实践多边主义的最佳场所","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","答案句改为精确术语"
B002-I11,wording_improvement,2025海淀二模Q21,"中国支持联合国","材料触发中支持联合国改革改为支持联合国工作","accepted","材料二直接事实是担任安理会轮值主席并推动讨论聚焦实质性问题；改革仅为细则可选项","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","材料触发改为维护联合国权威、维护宪章宗旨原则、支持联合国工作"
B002-N01,no_action,2024朝阳期中Q20(3),"数字贸易三段点评条目","无需修改","no_action","融合稿未把依托国内超大规模市场优势写入朝阳Q20(3)主链","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","仅记录"
B002-N02,no_action,2025海淀二模Q21,"联合国与中国相关条目","无需修改","no_action","海淀Q21拆合总体对应联合国地位、中国地位、中国支持联合国、中国智慧中国方案","03_fusion/BATCH_002_AFTER_GPT_PRO_PATCH.md","仅记录"
