"issue_id","decision","source_adjudication","applied_change","notes"
"B003-001","accepted","融合稿标题与自检属内部生产信息，源包与用户硬规则要求学生向正文不带模型过程评价。","标题改为 Batch 003 After GPT Pro Patch；融合前自检替换为源包边界提示。","P01"
"B003-002","accepted","2026朝阳一模Q20细则明确必答点为国际竞争实质+创新驱动+全球创新策源地+产业链供应链稳定；发展潜力角度最多5分且为可选链条。","修正必答答案句，新增必答链条与发展潜力可选链条边界提示。","P02"
"B003-003","accepted","2026西城一模Q20(2)题面写关键产品和服务自由流通、供应链互联互通、数字基础设施建设合作；未写关键产品存在供应风险。","删除未被题面支撑的供应风险表述，改为自由流通、互联互通和数字基础设施合作触发经济安全。","P03"
"B003-004","accepted","2026西城一模Q20(2)题面写构建发展中国家数字经济规则体系、打破发达国家长期垄断；未写首次或高水平主导达成。","去除首次/高水平主导达成，改写多边贸易、全球治理改革与发展中国家规则话语权两条材料触发和答案句。","P04"
"B003-005","no_action","融合稿未把产业就业、产业结构优化升级单独建为选必一主术语，符合源包边界。","无正文修改。","GPT无动作项"
"B003-006","accepted","2025东城二模Q20细则按背景2分、精神4分、行动2分组织。","在同球共济条目新增小论文三层结构与防止套大词的边界提示。","P05"
"B003-007","accepted","2025东城二模Q20行动层对应劝和促谈、气候合作、人工智能治理等全球行动；2025朝阳二模Q21对应周边机制、平台和区域合作。","把民主化/多边主义答案句拆成两个题向的并列卷面句，并新增材料触发不可互换提示。","P06"
"B003-008","accepted","2025朝阳二模Q21源包写四定位链条为阅卷前答案2分，按中国/区域/世界三主体角度组织；融合稿3分结构不稳。","替换四定位细则位置，新增三主体角度与同一关键词不重复给分边界提示。","P07"
"B003-009","accepted","2025朝阳二模Q21边界提示要求按中国、区域、世界三个主体角度组织。","同B003-008，在周边工作条目新增三主体角度组织提示。","P07"
"B003-010","accepted","2025朝阳二模Q21源包明确教育文化交流、文化借鉴融合、民心相通、加强团结合作链条。","新增教育文化交流/民心相通条目。","P08"
"B003-011","accepted","2026东城期末Q20四大倡议有4分、系统推动2分、实践层面1分结构；同类表述在该题中受采分结构约束。","为正确义利观、完善全球治理、人类命运共同体相关条目补充特定题中不得重复替代的边界提示。","P09"
"B003-012","accepted","2026东城期末Q20细则要求四大全球倡议与持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界形成系统推动关系。","系统推动答案句补入五个世界，并新增不替代四倡议4分和实践层面1分提示。","P10"
"B003-013","no_action","融合稿已将同球共济精神单独建条，没有被通用人类命运共同体吞并。","无正文修改。","GPT无动作项"
"B003-014","no_action","融合稿已分别保留四大倡议四条与实践层面，符合2026东城期末Q20细则。","无正文修改。","GPT无动作项"
