"issue_id","decision","source_adjudication","applied_change","notes"
"B003-R-001","accepted_with_expansion","2026朝阳一模Q20源包将坚持共商共建共享列为从发展潜力看角度独立1分，与大国责任与担当中的义利观/智慧方案不同层。","替换正确义利观条目的边界提示，并新增术语：坚持共商共建共享。","RP01"
"B003-R-002","accepted","2026朝阳一模Q20源包明确大国责任与担当1分内部含义利观、智慧方案，不能与正确义利观条目重复计分。","在大国责任与担当条目补充同一1分边界提示。","RP02"
"B003-R-003","accepted","2026西城一模Q20(2)题面原词是优先推进新能源汽车等领域标准联合制定，重点领域是源包外概括。","将多边贸易/多边主义/全球治理改革条目的材料触发改回新能源汽车等领域标准联合制定。","RP03"
"B003-R-004","accepted","2025朝阳二模Q21世界发展需要角度仅列推动全球治理变革；完善全球治理/在公平治理中实现共赢来自2026东城期末Q20全球治理倡议。","替换全球治理条目的边界提示，明确两题只能分流使用各自表述。","RP04"
"B003-R-005","accepted","2025朝阳二模Q21源包只使用维护地区和平与稳定，未出现维护区域安全。","删除术语标题、细则位置和答案句中的维护区域安全。","RP05"
"B003-R-006","no_action","GPT后稿已明确朝阳一模Q20必答链条与发展潜力5分上限。","无正文修改。","Claude无动作项"
"B003-R-007","no_action","GPT后稿已在同球共济条目保留背景/精神/行动三层。","无正文修改。","Claude无动作项"
"B003-R-008","no_action","GPT后稿已补回朝阳二模Q21三主体角度、同一关键词不重复给分和教育文化交流链条。","无正文修改。","Claude无动作项"
"B003-R-009","no_action","GPT后稿已保留东城期末四大倡议4分、系统推动2分、实践层面1分。","无正文修改。","Claude无动作项"
"B003-R-010","no_action","GPT后稿已分开西城一模Q20(2)标准规则、产业链供应链、综合三层，且未沉淀产业就业为选必一主术语。","无正文修改。","Claude无动作项"
