path,size_bytes,sha256,capsule_path,line_count_estimate,policy
选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/claudecode_lane/logs/claude.stream.json,86498338,045b8717f2440226f4d3cb658187f07307c9e17be64dac9357b78b7c3e86d22b,context_capsules/8519968cf7_0__GPT55__ClaudeCode__2026-05-02_claudecode_lane_logs_claude.stream.json.summary.md,9379,capsule-first-original-for-evidence
选必三逻辑与思维双线四线终极跑_2026-05-04/01_source_inventory/logic_candidate_hits.jsonl,5892042,7fbaf027381450a1bbd41d436a78f60c9745efd603930bbbc6ef021fcc668723,context_capsules/51c9efb225_2026-05-04_01_source_inventory_logic_candidate_hits.jsonl.summary.md,3947,capsule-first-original-for-evidence
选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/claudecode_lane/logs/claude-phase02-restart-20260502_235555.stream.json,5835884,c2eb9b3d6108fad58087e702fa83db0b842044a2b26bdad85a6ba8d2529933b8,context_capsules/6f9192756a_deCode__2026-05-02_claudecode_lane_logs_claude-phase02-restart-20260502_235555.stream.json.summary.md,18735,capsule-first-original-for-evidence
选必三逻辑与思维双线四线终极跑_2026-05-04/01_source_inventory/logic_candidate_hits.csv,5150993,768dec45b6691cc5593c09dac3bc0768ba2b32d3e45b0ff619dc9f85b83ebd51,context_capsules/05bcb02ecb_2026-05-04_01_source_inventory_logic_candidate_hits.csv.summary.md,3948,capsule-first-original-for-evidence
选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/00_control/SOURCE_LEDGER.csv,4775649,e5acc5bc4bfc88c8fbf1660f506f56763958b9c4a3161c5499146c20ffc10c0e,context_capsules/4a7dee98d6_2026-04-30_raw_exam_subjective_compilation_2026-06-02_00_control_SOURCE_LEDGER.csv.summary.md,14472,capsule-first-original-for-evidence
选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/01_inventory/desktop_candidate_sources.csv,4775649,e5acc5bc4bfc88c8fbf1660f506f56763958b9c4a3161c5499146c20ffc10c0e,context_capsules/274a803b33_4-30_raw_exam_subjective_compilation_2026-06-02_01_inventory_desktop_candidate_sources.csv.summary.md,14472,capsule-first-original-for-evidence
选必三逻辑与思维双线四线终极跑_2026-05-04/01_source_inventory/logic_candidate_hits_enriched.csv,4635461,a6730900882abb7fb55ddb9d1ade964961887bcea27fc4fe20a664c846b77923,context_capsules/1e0e417089_2026-05-04_01_source_inventory_logic_candidate_hits_enriched.csv.summary.md,3948,capsule-first-original-for-evidence
reports/必修二三与必修四文化_题源分类准备_20260617_1301/03_question_index/question_candidates.csv,3854407,ed3275baa3d5c8b66d37f920391791771703ca2f8db54e014f6e9852ab962f36,context_capsules/fcd79a5f17_reports____20260617_1301_03_question_index_question_candidates.csv.summary.md,3216,capsule-first-original-for-evidence
codex_continuous/jobs/哲学必修四_三线闭环穷尽满分课/logs/iteration-001.raw.log,3597875,0109fd11fb4a22d35848b930830ec54580ef692696f896ebc722f73f735e8dbc,context_capsules/70190edf11_codex_continuous_jobs___logs_iteration-001.raw.log.summary.md,18311,capsule-first-original-for-evidence
选必一_当代国际政治与经济_四线终极全书_2026-05-03/claudecode_lane/logs/claudecode_full_20260503_183912.stream.json,3253682,2badb4a2aac7edd7a690bc0502776b1d32aaca4868226b73be71fa99e6eecd7a,context_capsules/1fa32d6c7c_2026-05-03_claudecode_lane_logs_claudecode_full_20260503_183912.stream.json.summary.md,8397,capsule-first-original-for-evidence
