六要素,小框架,术语标题,题源,重复次数,处理方式,旧稿记录ID
政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义,2024朝阳二模 Q20,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0011；OLD-0109
理论,国家安全,国家安全是最高国家利益,2026朝阳期中 Q17,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0028；OLD-0029
经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放,2026西城一模 Q20(2),2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0035；OLD-0036
经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放,2026门头沟一模 Q20,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0042；OLD-0043
经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放,2025昌平二模 Q21,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0046；OLD-0047
经济全球化,环,促进要素自由流动 / 人员、商品、资金、技术、服务流动 / 拉动投资和消费 / 开拓市场 / 产业结构优化升级,2024丰台一模 Q20,3,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0083；OLD-0087；OLD-0088
政治多极化,完善全球治理,完善全球治理 / 倡导共商共建共享的全球治理观,2024朝阳二模 Q20,3,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0094；OLD-0127；OLD-0128
政治多极化,民主,推动国际关系民主化,2026朝阳期末 Q20,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0107；OLD-0108
政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义,2026朝阳期末 Q20,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0107；OLD-0108
政治多极化,共体,有利于构建人类命运共同体,2026东城期末 Q20,5,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0132；OLD-0133；OLD-0134；OLD-0135；OLD-0136
政治多极化,共体,有利于构建人类命运共同体,2024东城二模 Q20,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0139；OLD-0140
政治多极化,共体,有利于构建人类命运共同体,2025朝阳二模 Q21,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0144；OLD-0145
政治多极化,共体,有利于构建人类命运共同体,2025丰台期末 Q20,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0146；OLD-0147
中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展,2025海淀期中 Q21(2),3,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0165；OLD-0166；OLD-0167
中国,政策,我国奉行独立自主的和平外交政策 / 坚持和平共处五项原则 / 坚持独立自主的基本立场 / 维护世界和平、促进共同发展,2024海淀期中 Q21(2),2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0168；OLD-0169
中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体,2026西城期末 Q20,2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0177；OLD-0182
联合国,联合国原框架术语,践行多边主义的最佳场所,2025海淀二模 Q21,3,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0183；OLD-0188；OLD-0192
经济全球化,国,推动成员国经济复苏 / 共建国家经济增长,2026延庆一模 Q19(2),2,合并为一个题目条目；材料触发点、踩分词、答案落点合并去重。,OLD-0019-PDFCOUNTRY；OLD-0159-PDFCOUNTRY
