bucket,second_level,core_point,frequency,entry_count,reason
时代背景,机遇,和平与发展仍是时代主题,10,10,讲义时代背景中的机遇面：和平与发展、经济全球化和政治多极化深入发展
时代背景,挑战,百年变局与外部风险挑战,2,2,讲义时代背景中的挑战面：霸权主义、强权政治、逆全球化、治理赤字和共同风险
时代背景,挑战,气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,1,1,讲义时代背景中的挑战面：霸权主义、强权政治、逆全球化、治理赤字和共同风险
理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,3,3,讲义理论中的国家安全线：国家利益、安全底线和最高国家利益
理论,合作,国家间共同利益是国家合作的基础,7,7,讲义理论中的合作线：共同利益是合作基础，兼顾他国合理关切
理论,竞争,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,4,4,讲义理论中的竞争线：国际竞争实质、综合国力、经济科技人才实力
理论,竞争,科教兴国战略与人才强国战略（细则用语：人才与国际竞争力的关系；出现1次）,,1,讲义理论中的竞争线：国际竞争实质、综合国力、经济科技人才实力
经济全球化,环：经济环节与要素流动,处理好自力更生和对外开放的关系，参与经济全球化和国际分工,1,1,对应讲义“环”：要素自由流动、产业升级、投资消费和市场拓展
经济全球化,新增：全球经济治理与规则权益,参与全球经济治理和规则制定，为企业出海营造国际环境,1,1,明显是经济治理、规则制定、标准和权益维护角度
经济全球化,总：开放包容普惠平衡共赢方向,顺应经济全球化趋势，主动融入并推动深化,3,3,对应讲义“总”：推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
经济全球化,兼：国内国际两种资源两个市场,利用两个市场两种资源优化全球资源配置,9,9,对应讲义“兼”：充分利用国内国际两种资源、两个市场
经济全球化,新增：数字经济、绿色转型与新兴领域,数字贸易与数字经济跨境流通,1,1,明显是数字、科技、绿色和未来产业角度
经济全球化,开：高水平对外开放,提高开放型经济水平,1,1,对应讲义“开”：高水平对外开放、更高层次开放型经济、引进来走出去
经济全球化,开：高水平对外开放,发展更高层次开放型经济并稳步扩大制度型开放,1,1,对应讲义“开”：高水平对外开放、更高层次开放型经济、引进来走出去
经济全球化,总：开放包容普惠平衡共赢方向,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,9,9,对应讲义“总”：推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
经济全球化,贸资：贸易投资自由化便利化,对最不发达国家实行零关税，推动普惠包容的经济全球化,1,1,对应讲义“贸资”：推动贸易投资自由化便利化
经济全球化,贸资：贸易投资自由化便利化,推进贸易和投资自由化便利化,6,6,对应讲义“贸资”：推动贸易投资自由化便利化
经济全球化,新增：产业链供应链与开放安全,维护全球产业链供应链稳定畅通,3,3,明显是产业链供应链和开放安全角度
经济全球化,开：高水平对外开放,中国扩大高水平对外开放与制度型开放,6,6,对应讲义“开”：高水平对外开放、更高层次开放型经济、引进来走出去
经济全球化,新增：数字经济、绿色转型与新兴领域,我国的未来产业有非常广阔的国际市场，为未来产业“走出去”提供了可能,1,1,明显是数字、科技、绿色和未来产业角度
经济全球化,新增：全球经济治理与规则权益,积极参与全球经济治理和经贸规则完善,4,4,明显是经济治理、规则制定、标准和权益维护角度
经济全球化,新增：全球经济治理与规则权益,参与国际标准制定，提升国际规则话语权,3,3,明显是经济治理、规则制定、标准和权益维护角度
经济全球化,新增：数字经济、绿色转型与新兴领域,以开放促进产业升级，为未来产业拓展国际空间，提升国际竞争力，筑牢安全基础,1,1,明显是数字、科技、绿色和未来产业角度
经济全球化,新增：产业链供应链与开放安全,统筹开放与安全，维护产业链供应链安全稳定,1,1,明显是产业链供应链和开放安全角度
经济全球化,新增：全球经济治理与规则权益,充分运用国际规则，利用国际组织赋予的权利，对话磋商，积极维护自身权益,1,1,明显是经济治理、规则制定、标准和权益维护角度
经济全球化,新增：国际分工、企业出海与国际竞争新优势,加强技术创新、提高产品质量，增强竞争力,1,1,明显是企业出海、国际分工或竞争优势角度，不硬塞口诀字
经济全球化,新增：国际分工、企业出海与国际竞争新优势,实施出口市场多元化战略，减少对单一市场的依赖,1,1,明显是企业出海、国际分工或竞争优势角度，不硬塞口诀字
经济全球化,新增：数字经济、绿色转型与新兴领域,以科学技术的发展推动建设创新型、开放型世界经济,1,1,明显是数字、科技、绿色和未来产业角度
经济全球化,新增：贸易保护主义与多边贸易体制,维护多边贸易体制,2,2,明显是反贸易保护主义、多边贸易体制和开放环境角度
经济全球化,总：开放包容普惠平衡共赢方向,推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局,2,2,对应讲义“总”：推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
经济全球化,配：资源配置,促进全球资源优化配置和国际贸易发展,1,1,对应讲义“配”：优化资源配置和提高配置效率
经济全球化,新增：数字经济、绿色转型与新兴领域,为世界新能源产业注入活力，增强经济全球化动力,1,1,明显是数字、科技、绿色和未来产业角度
经济全球化,新增：贸易保护主义与多边贸易体制,反对贸易保护主义，警惕单边措施破坏多边贸易秩序,1,1,明显是反贸易保护主义、多边贸易体制和开放环境角度
经济全球化,总：开放包容普惠平衡共赢方向,推动建设开放型世界经济，深化国际分工与合作,1,1,对应讲义“总”：推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
经济全球化,新增：产业链供应链与开放安全,维护全球产业链供应链稳定畅通，服务共同现代化,1,1,明显是产业链供应链和开放安全角度
经济全球化,新增：贸易保护主义与多边贸易体制,维护开放合作的国际经济环境,1,1,明显是反贸易保护主义、多边贸易体制和开放环境角度
经济全球化,新增：数字经济、绿色转型与新兴领域,促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型,1,1,明显是数字、科技、绿色和未来产业角度
经济全球化,开：高水平对外开放,互利共赢的开放战略,1,1,对应讲义“开”：高水平对外开放、更高层次开放型经济、引进来走出去
经济全球化,兼：国内国际两种资源两个市场,内外联通畅通国内国际双循环，提升国际循环质量,1,1,对应讲义“兼”：充分利用国内国际两种资源、两个市场
经济全球化,总：开放包容普惠平衡共赢方向,推进普惠包容的经济全球化,1,1,对应讲义“总”：推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
经济全球化,总：开放包容普惠平衡共赢方向,建设开放型世界经济,1,1,对应讲义“总”：推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
经济全球化,新增：贸易保护主义与多边贸易体制,顺应经济全球化趋势，反对贸易保护主义,1,1,明显是反贸易保护主义、多边贸易体制和开放环境角度
经济全球化,总：开放包容普惠平衡共赢方向,建设开放型世界经济，扩大开放合作,1,1,对应讲义“总”：推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
经济全球化,国：成员国和相关国家发展,共享经济全球化成果，促进世界经济共同繁荣,1,1,对应讲义“国”：推动成员国或相关国家经济复苏和增长
经济全球化,总：开放包容普惠平衡共赢方向,坚持开放合作和包容普惠,1,1,对应讲义“总”：推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
经济全球化,新增：全球经济治理与规则权益,"企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业""出海""营造良好的国际环境",1,1,明显是经济治理、规则制定、标准和权益维护角度
政治多极化,完全治：完善全球治理,共商共建共享的全球治理观,11,11,对应讲义“完全治”：完善全球治理，倡导共商共建共享
政治多极化,民主：国际关系民主化,推动国际关系民主化,3,3,对应讲义“民主”：推动国际关系民主化
政治多极化,共体：人类命运共同体,推动构建人类命运共同体,7,7,对应讲义“共体”：构建人类命运共同体
政治多极化,新国关：新型国际关系,相互尊重、公平正义、合作共赢的新型国际关系,4,4,对应讲义“新国关”：相互尊重、公平正义、合作共赢的新型国际关系
政治多极化,完全治：完善全球治理,推动国际秩序和全球治理体系更加公正合理,6,6,对应讲义“完全治”：完善全球治理，倡导共商共建共享
政治多极化,共体：人类命运共同体,促进共同发展、维护持久和平，共同推进现代化,1,1,对应讲义“共体”：构建人类命运共同体
政治多极化,单边/斥：反对单边主义等错误倾向,践行真正的多边主义,2,2,对应讲义“单边/斥”：反对单边主义、贸易保护主义、霸权主义和强权政治
政治多极化,完全治：完善全球治理,坚持开放合作、共享共赢、包容互鉴、共商共建,1,1,默认按完善全球治理承接
政治多极化,新增：具体治理议题与文明互鉴,坚持共同但有区别的责任，要求发达国家为完善全球气候治理承担更多责任,1,1,明显是气候、安全、文明互鉴等具体治理议题
